id,source_id,status,rows_inserted,duration_ms,error_message,created_at
66d512ac-f0b8-405c-8629-514ac3de3a3b,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,success,13,1272,,2026-04-09T17:43:05.19773+00:00
c834fac7-6e22-4ca5-a247-32d6f002c5c0,c4aa5fda-9045-4df3-aba2-d6b1c8bf730c,success,27,365,,2026-04-09T17:43:05.779836+00:00
8c76e04c-e0a0-42b9-8aa8-c18f24decef3,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,success,13,885,,2026-04-09T18:18:55.544103+00:00
005b96c9-56ed-47da-a944-b12c49a389b6,c4aa5fda-9045-4df3-aba2-d6b1c8bf730c,success,27,504,,2026-04-09T18:18:56.335606+00:00
afc7ef64-2db9-498e-98f6-c4a54b75a1c3,ef4dd56c-f00a-4fbf-afee-4b8703dbc3e0,success,200,736,,2026-04-09T18:18:57.371646+00:00
5fc0ba47-4eb9-4775-bb87-a8b639a7c492,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,success,13,1273,,2026-04-09T20:11:05.943001+00:00
85896fe9-d2e1-4bb1-83cf-4e5e0f4ab6be,c4aa5fda-9045-4df3-aba2-d6b1c8bf730c,success,27,599,,2026-04-09T20:11:06.84564+00:00
3096d167-0f04-4ce0-9f28-1fff3fdf7616,ef4dd56c-f00a-4fbf-afee-4b8703dbc3e0,success,200,829,,2026-04-09T20:11:08.001706+00:00
3bea1704-8f3c-454c-b097-0492ae8f1a80,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,success,13,1186,,2026-04-09T20:24:37.635029+00:00
079f41b1-eb14-4edd-906d-e4666ff20ecd,c4aa5fda-9045-4df3-aba2-d6b1c8bf730c,success,27,754,,2026-04-09T20:24:38.712312+00:00
2ac8ef49-4bf8-435e-bfca-ef9d2ffbcb37,ef4dd56c-f00a-4fbf-afee-4b8703dbc3e0,success,200,878,,2026-04-09T20:24:39.979228+00:00
142f1df3-b273-4c8d-bdac-274fb726076f,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,success,15,621,,2026-04-11T16:40:41.237995+00:00
29ce0e65-c674-4268-9ab9-31f7eeaafeb7,c4aa5fda-9045-4df3-aba2-d6b1c8bf730c,success,28,406,,2026-04-11T16:40:41.876669+00:00
676fb4ce-b686-4f60-afce-862ef63b8512,ef4dd56c-f00a-4fbf-afee-4b8703dbc3e0,success,200,623,,2026-04-11T16:40:42.743209+00:00
37c1e84e-8fc4-411f-97f7-bcf56cc11b5b,c4aa5fda-9045-4df3-aba2-d6b1c8bf730c,success,28,1369,,2026-04-11T18:11:28.916184+00:00
75384fbf-40f7-4ab0-92e8-aa666b55a0de,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,success,14,1049,,2026-04-12T16:44:04.838373+00:00
bd0073fb-fd3a-4422-8fb7-0409c2ab72ba,c4aa5fda-9045-4df3-aba2-d6b1c8bf730c,success,27,395,,2026-04-12T16:44:05.458138+00:00
638b1d79-19b6-4fc1-ab42-93a7d4f88e1b,ef4dd56c-f00a-4fbf-afee-4b8703dbc3e0,success,200,614,,2026-04-12T16:44:06.324795+00:00
6c8e425e-51e0-4b43-a603-5eaf2c8bac45,7e5d2af3-6e0e-4af3-aacf-8204ace28cc2,success,14,1067,,2026-04-12T18:11:42.40451+00:00
3c561e60-20bf-434f-8cf4-1c8d52b92b9c,c4aa5fda-9045-4df3-aba2-d6b1c8bf730c,success,27,501,,2026-04-12T18:11:43.230792+00:00
