skill_name,offer_count,week_date
javascript,15,2026-03-02T00:00:00+00:00
rest,15,2026-03-02T00:00:00+00:00
data modeling,14,2026-03-02T00:00:00+00:00
snowflake,14,2026-03-02T00:00:00+00:00
agile,14,2026-03-02T00:00:00+00:00
databricks,14,2026-03-02T00:00:00+00:00
data engineering,14,2026-03-02T00:00:00+00:00
etl,14,2026-03-02T00:00:00+00:00
scala,5,2026-03-02T00:00:00+00:00
power bi,4,2026-03-02T00:00:00+00:00
pyspark,1,2026-03-02T00:00:00+00:00
agile,1,2026-02-23T00:00:00+00:00
machine learning,1,2026-02-23T00:00:00+00:00
sql,57,2026-02-16T00:00:00+00:00
ci/cd,42,2026-02-16T00:00:00+00:00
bigquery,42,2026-02-16T00:00:00+00:00
r,33,2026-02-16T00:00:00+00:00
spark,29,2026-02-16T00:00:00+00:00
agile,28,2026-02-16T00:00:00+00:00
gcp,28,2026-02-16T00:00:00+00:00
docker,28,2026-02-16T00:00:00+00:00
aws,28,2026-02-16T00:00:00+00:00
excel,28,2026-02-16T00:00:00+00:00
kubernetes,28,2026-02-16T00:00:00+00:00
linux,28,2026-02-16T00:00:00+00:00
scrum,28,2026-02-16T00:00:00+00:00
machine learning,23,2026-02-16T00:00:00+00:00
tensorflow,15,2026-02-16T00:00:00+00:00
hadoop,15,2026-02-16T00:00:00+00:00
pytorch,15,2026-02-16T00:00:00+00:00
python,15,2026-02-16T00:00:00+00:00
scala,14,2026-02-16T00:00:00+00:00
kafka,14,2026-02-16T00:00:00+00:00
terraform,14,2026-02-16T00:00:00+00:00
azure,14,2026-02-16T00:00:00+00:00
java,14,2026-02-16T00:00:00+00:00
data engineering,14,2026-02-16T00:00:00+00:00
git,14,2026-02-16T00:00:00+00:00
power bi,14,2026-02-16T00:00:00+00:00
api,14,2026-02-16T00:00:00+00:00
etl,14,2026-02-16T00:00:00+00:00
dbt,14,2026-02-16T00:00:00+00:00
data science,4,2026-02-16T00:00:00+00:00
sql,46,2026-02-09T00:00:00+00:00
azure,40,2026-02-09T00:00:00+00:00
airflow,28,2026-02-09T00:00:00+00:00
python,27,2026-02-09T00:00:00+00:00
gcp,27,2026-02-09T00:00:00+00:00
etl,27,2026-02-09T00:00:00+00:00
ci/cd,27,2026-02-09T00:00:00+00:00
aws,26,2026-02-09T00:00:00+00:00
docker,14,2026-02-09T00:00:00+00:00
spark,14,2026-02-09T00:00:00+00:00
kubernetes,14,2026-02-09T00:00:00+00:00
bigquery,14,2026-02-09T00:00:00+00:00
machine learning,13,2026-02-09T00:00:00+00:00
java,7,2026-02-09T00:00:00+00:00
rest,7,2026-02-09T00:00:00+00:00
machine learning,8,2026-01-26T00:00:00+00:00
data science,7,2026-01-26T00:00:00+00:00
machine learning,12,2026-01-19T00:00:00+00:00
data science,4,2025-12-29T00:00:00+00:00
r,2,2025-11-24T00:00:00+00:00
machine learning,4,2025-11-17T00:00:00+00:00
data science,4,2025-11-17T00:00:00+00:00
data science,5,2025-11-10T00:00:00+00:00
machine learning,4,2025-11-10T00:00:00+00:00
data science,4,2025-11-03T00:00:00+00:00
machine learning,4,2025-10-06T00:00:00+00:00
r,4,2025-09-22T00:00:00+00:00
machine learning,4,2025-09-22T00:00:00+00:00
machine learning,4,2025-08-04T00:00:00+00:00
machine learning,4,2025-06-02T00:00:00+00:00
machine learning,4,2024-07-29T00:00:00+00:00
